ID,Title,Description,Topic,Type,Link,Formats,Permissions,Organisation,Contact
1583,IEEE Datasets,"Electric Vehicles Database with scenario, Reliability Weather Data PV Generation Verbrauchszahlen Hausgeräte, .... Consumption Data  Private Homes Offices Commercial Water Heater Refrigerator Wind based Generation (Data base includes the values of the wind speed, recorded with time intervals of 10min) Power Quality Wind based Generation (Data base includes the values of the wind speed, recorded with time intervals of 10min) Weather Data Power Quality Electric Vehicles  Database with scenario PV Generation Consumption Data  Private Homes Offices Commercial Water Heater Refrigerator ",Mobilität,Dataset,http://sites.ieee.org/pes-iss/data-sets/,,,IEEE PES,
1579,Gebäude- und Wohnungsregister,Ganze Schweiz,Gebäude,Dataset,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register/CSV/CH/CH.zip,,,"GWR Daten, GESA",
1580,Gebäude- und Wohnungsregister (Aargau),,Gebäude,Dataset,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register/CSV/meta.txt,,,"GWR Daten, GESA",
1582,GWR Daten,Daten Energieträger nach gebäuden und Gemeinden,"Gemeinde,Gebäude",Dataset,,XLS,,GESA,
1578,GeoProRegio,GeoDatenshop Versorgungsunternehmen Aargau:  Stromnetz Gasnetz Abwasser Wasser Fernwärme,"Versorgungsnetze,Wasser / Gasversorgung",Dataset,https://www.geoproregio.ch/maps,,Not open data,GeoProRegio,Matthias Eifert
1576,Aargau Geoportal,Onlinekarten,Geographie,Dataset,https://www.ag.ch/de/dfr/geoportal/geoportal.jsp,GIS,,Geoportal Kt. Aargau,Matthias Eifert
1575,Gebäudeadressen GEOPOST,,Gebäude,Dataset,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register/CSV/CH/CH.zip,,,Geoportal Kt. Aargau,Matthias Eifert
1577,Geodaten Shop,"Agglomerationen und Einzelstädte CH, 1:2'000'000 Agglomerationsprogramm 1.Generation Verkehrslinien Agglomerationsprogramme 1.Generation: Knoten, Haltestelle und ESP Agglomerationsprogramme 1. Generation: Verkehrsmanagement Aggloprogramme 2. Generation: Verkehr (Flächen) Aggloprogramme 2. Generation: Verkehr (Linien) Aggloprogramme 2. Generation: Verkehr (Punkte) Aggloprogramme 3. Generation: Verkehr (Flächen) Aggloprogramme 3. Generation: Verkehr (Linien) Aggloprogramme 3. Generation: Verkehr (Punkte) Bahnlinien Buslinien Gemeindegrenzen Generalisierte Agglomerationenund städtische Kerne (1:300'000 bis 1:600'000) Hochspannungsleitung (geplant) Richtplan Kraftwerke Nationalstrassen Anschluss/Halbanschluss Richtplan Netz Kantonsstrassen undNationalstrassen Netzgebietszuteilung NE7 Netzgebietszuteilung Punktuelle Ausnahmen öV-Haltestellen Park+Pool Park+Ride (P+R) Parkplätze Radroutennetz, definitive Linienführung der kantonalen Radrouten (Richtplan) Richtplan Gesamtkarte (TIFF) Risikokataster (Mobile Risiken): Durchgangsstrassen Risikokataster (Mobile Risiken): Eisenbahnen Risikokataster (Mobile Risiken): Gasleitungen Risikokataster (Mobile Risiken): Nationalstrassen Risikokataster (Stationäre Risiken): Betriebsareale Risikokataster (Stationäre Risiken): Chemiebetriebe Schienennetz: Kilometrierungslinien (siehe unter GeoAdmin.ch ""Schienendaten"") Schienennetz: Knoten (siehe unter GeoAdmin.ch ""Schienendaten"") Schienennetz: Netzsegmente (siehe unter GeoAdmin.ch ""Schienendaten"") Solarkataster Solarpotenzial pro Gemeinde Sonneneinstrahlung (TIFF) Starkstromleitungen ab LK25 Strassennetz im EGM05-Raum Strassennetz TomTom: Eisenbahn (Railways) Strassennetz TomTom: Postleitzahlen Strassennetz TomTom: Strassenlinien Strassenverkehrszählungen/StrassenbelastungsplanMIV Versorgungsrouten Volkszählungsdaten 2012, Gesamtbevölkerung auf Hektarbasis Volkszählungsdaten 2014, Statistik der Bevölkerung - Sammelhektare pro Gemeinde für Personen ohne Adresse 3D Gebäude Gebäude ab Übersichtsplan 1:5000 Gebäude- und Wohnungsstatistik 2015 - Sammelhektare pro Gemeinde für nicht genau lokalisierbare Gebäude mit Wohnnutzung Gebäude- und Wohnungsstatistik 2015 auf Hektarbasis Gebäude- und Wohnungsstatistik 2016 - Sammelhektare pro Gemeinde für nicht genau lokalisierbare Gebäude mit Wohnnutzung Gebäude- und Wohnungsstatistik 2016 auf Hektarbasis ",Kadaster & Netze,Dataset,https://www.ag.ch/geoportal/geodatenshop/download/Bestellung_15503_61694_131928858894705535.zip,"Shapefile,GIS",,Geoportal Kt. Aargau,Matthias Eifert
1574,Solarpotenzial,"Solarpotenzial  Gebäudedaten (Baujahr, Renovationsjahr, Fläche, Anzahl      Wohnungen etc.)  Parzellendaten  Unternehmensregister  Stromtarife Elcom  Etc.   für die Städte Aarau, Bremgarten und Rheinfelden","Sonnenenergie,Potenzial",Dataset,,,,GeoImpact,André Golliez
1570,Energiedaten,Datenviewer,Catalog,Dataset,https://map.geo.admin.ch/?lang=en&topic=energie ,API,,GeoAdmin.ch,
1571,Energiedaten,Katalog aller Daten,Catalog,Dataset,https://www.geo.admin.ch/de/geoinformation-schweiz/verzeichnis-inspire/energie-und-wirtschaft/energiequellen.html,API,,GeoAdmin.ch,
1563,Heat Demand Housholds and Services Switzerland,,Catalog,Dataset,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&layers_opacity=0.75&E=2646117.76&N=1248467.56&zoom=9,,,GeoAdmin.ch,
1566,Heat Demand Industry Switzerland,,Catalog,Dataset,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-nachfrage_industrie&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&layers_opacity=0.75&E=2635764.95&N=1240153.35&zoom=8,,,GeoAdmin.ch,
1565,Hydrological Data,,Catalog,Dataset,https://data.geo.admin.ch/ch.bafu.hydrogeologie-uebersichtskarte/,,,GeoAdmin.ch,
1645,Solarpotenzial in der Schweiz (Fassaden für jede Schweizer Gemeinde),,"Sonnenenergie,Potenzial",Dataset,"https://map.geo.admin.ch/?layers=ch.bfe.solarenergie-eignung-daecher,true,ch.bfe.solarenergie-eignung-fassaden&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&E=2645915.44&N=1248328.00&zoom=11&layers_visibility=false",,,GeoAdmin.ch,
1564,"Wärmenetz,district heating",,Catalog,Dataset,https://map.geo.admin.ch/?layers=ch.bfe.thermische-netze&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&E=2625581.05&N=1267348.71&zoom=6,,,GeoAdmin.ch,
